@relation RhymeFeatures-weka.filters.unsupervised.attribute.Remove-R26

@attribute class {BDP,Rakim,Nas,2Pac,RunDMC,50Cent,LilWayne,KoolGRap,BigDaddyKane,PublicEnemy,BIG,IceCube,LLCoolJ,Scarface,Fabolous,JayZ,BeastieBoys,Eminem,SlickRick,Redman,Andre3k,Nelly,DMX,BoneThugs,MCHammer}
@attribute Syllables_per_Line numeric
@attribute Syllables_per_Word numeric
@attribute Syllable_Variation numeric
@attribute Novel_Word_Proportion numeric
@attribute Rhymes_per_Line numeric
@attribute Rhymes_per_Syllable numeric
@attribute Rhyme_Density numeric
@attribute End_Pairs_per_Line numeric
@attribute End_Pairs_Grown numeric
@attribute End_Pairs_Shrunk numeric
@attribute End_Pairs_Even numeric
@attribute Average_End_Score numeric
@attribute Average_End_Syl_Score numeric
@attribute Singles_per_Rhyme numeric
@attribute Doubles_per_Rhyme numeric
@attribute Triples_per_Rhyme numeric
@attribute Quads_per_Rhyme numeric
@attribute Longs_per_Rhyme numeric
@attribute Perfect_Rhymes numeric
@attribute Line_Internals_per_Line numeric
@attribute Links_per_Line numeric
@attribute Bridges_per_Line numeric
@attribute Compounds_per_Line numeric
@attribute Chaining_per_Line numeric

@data
Rakim,10.955882,1.335125,2.681274,0.904354,1.5,0.136913,0.214765,0.514706,0.314286,0.314286,0.371429,6.924914,4.25214,0.607843,0.264706,0.088235,0.029412,0.009804,0.156863,0.602941,0.176471,0.205882,0.058824,0.058824
Rakim,10.380282,1.337568,2.585802,0.927542,1.915493,0.184532,0.264586,0.478873,0.323529,0.323529,0.352941,5.949464,3.96631,0.610294,0.345588,0.044118,0,0,0.198529,0.84507,0.253521,0.338028,0.098592,0.183099
Rakim,9.766667,1.356481,1.891795,0.935528,1.566667,0.16041,0.223549,0.516667,0.354839,0.225806,0.419355,6.079371,4.382802,0.691489,0.244681,0.053191,0,0.010638,0.202128,0.55,0.166667,0.333333,0.116667,0.083333
Rakim,10.173077,1.274699,1.805133,0.928362,1.634615,0.160681,0.245747,0.557692,0.275862,0.310345,0.413793,6.495703,4.594521,0.588235,0.317647,0.070588,0.023529,0,0.211765,0.576923,0.173077,0.326923,0.057692,0.269231
Rakim,10.732143,1.315098,1.807633,0.904314,1.625,0.151414,0.25624,0.571429,0.1875,0.25,0.5625,5.165465,3.516913,0.505495,0.351648,0.087912,0.054945,0,0.186813,0.571429,0.160714,0.321429,0.053571,0.071429
Rakim,12,1.28,1.991051,0.890426,1.982143,0.165179,0.258929,0.517857,0.206897,0.37931,0.413793,6.088763,3.838568,0.612613,0.252252,0.108108,0.009009,0.018018,0.072072,0.607143,0.178571,0.678571,0.071429,0.071429
Rakim,10.571429,1.203252,1.878992,0.884774,1.392857,0.131757,0.189189,0.571429,0.28125,0.21875,0.5,5.299959,4.038064,0.666667,0.24359,0.076923,0.012821,0,0.115385,0.446429,0.107143,0.267857,0.035714,0.089286
Rakim,10.625,1.261596,1.43069,0.91933,1.65625,0.155882,0.225,0.46875,0.3,0.2,0.5,7.133061,4.279836,0.650943,0.283019,0.04717,0.009434,0.009434,0.150943,0.6875,0.1875,0.3125,0.03125,0.171875
Rakim,11.403846,1.323661,2.114598,0.916451,1.711538,0.150084,0.232715,0.557692,0.103448,0.344828,0.551724,6.086067,3.755233,0.550562,0.359551,0.078652,0.011236,0,0.213483,0.5,0.211538,0.442308,0.057692,0.038462
Rakim,11.557692,1.335556,1.54936,0.926558,2.096154,0.181364,0.309484,0.615385,0.3125,0.15625,0.53125,5.69323,3.643667,0.495413,0.348624,0.110092,0.045872,0,0.082569,0.692308,0.211538,0.576923,0.038462,0.192308
Rakim,10.958333,1.276699,1.802294,0.888873,1.979167,0.180608,0.262357,0.520833,0.28,0.2,0.52,4.107519,3.540964,0.589474,0.389474,0,0.021053,0,0.136842,0.708333,0.333333,0.416667,0.104167,0.104167
Rakim,10.029851,1.217391,2.05862,0.914499,1.425373,0.142113,0.207589,0.552239,0.202703,0.27027,0.527027,5.590096,3.830251,0.65445,0.256545,0.068063,0.015707,0.005236,0.17801,0.470149,0.119403,0.283582,0.022388,0.067164
Rakim,10.753425,1.326014,2.111812,0.928041,1.780822,0.165605,0.247134,0.383562,0.178571,0.178571,0.642857,6.239211,3.970407,0.638462,0.269231,0.061538,0.023077,0.007692,0.069231,0.767123,0.30137,0.328767,0.082192,0.136986
Rakim,10.302632,1.256822,1.842622,0.909749,1.368421,0.132822,0.192848,0.513158,0.205128,0.358974,0.435897,6.84405,4.375704,0.692308,0.192308,0.086538,0.028846,0,0.230769,0.447368,0.184211,0.223684,0.039474,0.118421
Rakim,10.316667,1.20428,1.875204,0.913365,1.55,0.150242,0.218094,0.5,0.266667,0.266667,0.466667,4.560484,3.109421,0.698925,0.193548,0.075269,0.021505,0.010753,0.150538,0.533333,0.233333,0.283333,0.033333,0.1
Rakim,10.75,1.3072,1.843374,0.951765,1.789474,0.166463,0.243574,0.447368,0.147059,0.294118,0.558824,6.198104,3.831555,0.639706,0.272059,0.073529,0.014706,0,0.132353,0.802632,0.263158,0.276316,0.105263,0.065789
Rakim,11.426471,1.241214,1.849612,0.88064,1.632353,0.142857,0.227799,0.5,0.235294,0.264706,0.5,5.385543,3.895925,0.630631,0.216216,0.108108,0.027027,0.018018,0.153153,0.602941,0.102941,0.426471,0.088235,0.088235
Rakim,11.765625,1.189573,1.738733,0.885851,1.578125,0.13413,0.209827,0.515625,0.272727,0.212121,0.515152,5.957077,4.011909,0.623762,0.247525,0.09901,0.019802,0.009901,0.158416,0.5625,0.171875,0.328125,0.078125,0.1875
Rakim,10.770833,1.27027,1.597388,0.930971,1.541667,0.143133,0.220503,0.604167,0.241379,0.310345,0.448276,5.870203,4.152095,0.608108,0.297297,0.067568,0,0.027027,0.216216,0.416667,0.208333,0.3125,0.0625,0.0625
Rakim,10,1.176471,1.732051,0.877321,1.134615,0.113462,0.180769,0.576923,0.233333,0.4,0.366667,7.263906,4.035504,0.610169,0.20339,0.169492,0.016949,0,0.101695,0.269231,0.076923,0.211538,0,0.038462
Rakim,10.125,1.197044,1.953896,0.919371,1.145833,0.113169,0.156379,0.5,0.25,0.208333,0.541667,7.016416,4.677611,0.636364,0.345455,0.018182,0,0,0.236364,0.354167,0.104167,0.1875,0,0.041667
Rakim,12.046875,1.26601,1.797826,0.903178,1.765625,0.146563,0.19585,0.46875,0.2,0.4,0.4,5.378131,3.935217,0.752212,0.19469,0.026549,0.017699,0.00885,0.238938,0.84375,0.109375,0.34375,0.0625,0.09375
Rakim,11.448718,1.313235,1.851177,0.907504,1.615385,0.141097,0.221725,0.551282,0.209302,0.232558,0.55814,5.761708,4.061532,0.619048,0.238095,0.119048,0.015873,0.007937,0.222222,0.538462,0.038462,0.487179,0.102564,0.141026
Nas,11.723404,1.402036,2.695166,0.949104,1.829787,0.15608,0.239564,0.468085,0.363636,0.363636,0.272727,4.207306,3.085358,0.534884,0.395349,0.069767,0,0,0.081395,0.680851,0.297872,0.382979,0.106383,0.170213
Nas,11.354167,1.34901,3.112405,0.950103,2.354167,0.207339,0.365138,0.5,0.458333,0.291667,0.25,5.680134,3.170307,0.504425,0.309735,0.123894,0.044248,0.017699,0.150442,0.916667,0.270833,0.666667,0.166667,0.291667
Nas,11.16,1.409091,2.70821,0.943195,2.12,0.189964,0.310036,0.42,0.285714,0.333333,0.380952,4.385698,3.069988,0.566038,0.330189,0.066038,0.009434,0.028302,0.037736,0.92,0.36,0.42,0.1,0.2
Nas,12.050847,1.311808,2.403555,0.917002,2.135593,0.177215,0.26301,0.40678,0.208333,0.25,0.541667,4.549696,3.412272,0.619048,0.293651,0.071429,0.015873,0,0.071429,0.898305,0.440678,0.389831,0.067797,0.084746
Nas,12.434783,1.271111,1.801596,0.90906,2.108696,0.16958,0.270979,0.478261,0.272727,0.227273,0.5,5.439942,3.324409,0.546392,0.350515,0.072165,0.020619,0.010309,0.072165,0.826087,0.217391,0.586957,0.173913,0.173913
Nas,12.622642,1.299029,2.789647,0.91441,2.283019,0.180867,0.307922,0.358491,0.263158,0.210526,0.526316,4.755014,3.226617,0.512397,0.380165,0.033058,0.057851,0.016529,0.07438,1.018868,0.320755,0.584906,0.150943,0.245283
Nas,11.483333,1.245931,2.692531,0.902216,1.8,0.156749,0.246734,0.5,0.266667,0.366667,0.366667,5.535588,3.459743,0.509259,0.425926,0.046296,0.018519,0,0.092593,0.616667,0.2,0.483333,0.066667,0.133333
Nas,12.346667,1.256445,2.521869,0.92322,2.053333,0.166307,0.238661,0.493333,0.27027,0.378378,0.351351,5.605232,3.770792,0.636364,0.311688,0.032468,0.019481,0,0.090909,0.8,0.293333,0.466667,0.093333,0.013333
Nas,11.772727,1.2432,2.811208,0.907465,1.621212,0.137709,0.196911,0.393939,0.423077,0.346154,0.230769,4.791765,4.0189,0.635514,0.317757,0.028037,0.018692,0,0.102804,0.590909,0.19697,0.439394,0.106061,0.075758
Nas,11.563636,1.259406,2.542466,0.937208,2.272727,0.196541,0.322327,0.327273,0.277778,0.444444,0.277778,6.006158,3.487447,0.568,0.296,0.088,0.032,0.016,0.072,1,0.490909,0.454545,0.218182,0.218182
Nas,11.245902,1.329457,2.386133,0.919554,1.836066,0.163265,0.249271,0.52459,0.375,0.34375,0.28125,5.107922,3.335786,0.651786,0.232143,0.080357,0.026786,0.008929,0.080357,0.57377,0.344262,0.393443,0.114754,0.032787
Nas,12.179104,1.353234,2.304605,0.931524,1.940299,0.159314,0.242647,0.492537,0.151515,0.30303,0.545455,5.001584,3.51175,0.592308,0.323077,0.053846,0.030769,0,0.084615,0.761194,0.179104,0.507463,0.208955,0.089552
Nas,12.869048,1.297719,2.462963,0.917991,2.285714,0.177613,0.296022,0.380952,0.375,0.03125,0.59375,5.716411,3.658503,0.546875,0.338542,0.0625,0.03125,0.020833,0.09375,1.119048,0.309524,0.47619,0.309524,0.178571
